id;name;images
34;Disc Jam;[{'url': 'https://images.start.gg/images/videogame/34/image-94bac1eb7e550477293762bf471be380.jpg?ehk=xQ4uiEF7CuZJvFpK%2FV57kQ6LRZxjZU3pQf6qPnclsgA%3D&ehkOptimized=bsLyJtE2dWNyHA2UR7ky3nMTzkIQ%2FXGJ7buPAtiGwf4%3D'}, {'url': 'https://images.start.gg/images/videogame/34/image-7a7decc593566eb9a94c4c10a97655b3.png?ehk=9SnDCBRH0zjAfKrENkNK3PYmzYZ%2BriPggy%2Bt%2BodU0qU%3D&ehkOptimized=FXKw4QDGjKZ5RXveUxdcmNV1A7%2BAvQd4R8ceK2tlqYw%3D'}]
35;Injustice 2;[{'url': 'https://images.start.gg/images/videogame/35/image-5945059a9d822b44b688039e9d660c2e.jpg?ehk=d2nE7S42f3qLNXDf7xA5jzkdBDJjurRVLYEVcpJMA1U%3D&ehkOptimized=R9r3oUQhGwWdC8qCGc8ndGLdUylKC%2BroxtBqTLTsp%2B0%3D'}, {'url': 'https://images.start.gg/images/videogame/35/image-c2f6c4a24a8d2a27490480e4146596d2.png?ehk=JQ7lxzFG4QPBiqqZbKBacZgM0hkWgAN8wv15JOYaaC0%3D&ehkOptimized=vLs6F8um2E5AywL91GmVE1XRxGi3%2FhSRt2tPYG4fHlM%3D'}]
36;Guilty Gear Xrd REV2;[{'url': 'https://images.start.gg/images/videogame/36/image-1abeb7038bc8f129e7f6513a53d6e452.jpg?ehk=4zVksKW44Cu%2FKDbmIJynoS4qlVLjKhDXVRcckoHn3iA%3D&ehkOptimized=N%2FXGSbe2cWEKW03zqh47L5LIct0R9AMFyurNPv8RLlc%3D'}, {'url': 'https://images.start.gg/images/videogame/36/image-317e0929fda4d61b5cae98c8247148af.png?ehk=oiRuKfEAehGz7YUANLf2dEc58cyf2rv0lkZs69mhGmg%3D&ehkOptimized=a17f1YCi%2FQIlVGgTu8bhc%2BFuCkW4d25xKedph4NpT3w%3D'}]
37;BlazBlue: Central Fiction;[{'url': 'https://images.start.gg/images/videogame/37/image-5c39e9da1d55f87c8c93ff9c7b807ced.jpg?ehk=gipZzugo5trG%2BiR5oSZrH7tABpUm9ZGHEowKWQG7roA%3D&ehkOptimized=Bn1gNSY%2BbkgFDSJV7zijl3ksPXOFMkzE3ueSIvWn7UE%3D'}, {'url': 'https://images.start.gg/images/videogame/37/image-3f2371fc078af0e83a8d0ecefcbf51cc.png?ehk=vUNnVcBlC8m8M%2FuL31QGk%2F8kew8mZvCzbOMSxlMJBCE%3D&ehkOptimized=nuYkDxFvHJgGUU2OyBFBnbEHdpAdTMdSqBOv%2Fufr7Uk%3D'}]
38;The King of Fighters XIV;[{'url': 'https://images.start.gg/images/videogame/38/image-e2877d31962b91da35771fccbe21f7a7.jpg?ehk=B5hkdYGwMpv7fmGN9%2Ffuk66BxOl4arXs2yWGO6mUITc%3D&ehkOptimized=6gN4lc%2BgRC%2BwHMMxLG3AiohfLmr6tjHr5zQ629xbtaM%3D'}, {'url': 'https://images.start.gg/images/videogame/38/image-c2f6444d48dc6d3213526c879921d7c9.png?ehk=gcxiqFYGyOcz15OQMmP%2BhphQ4lkrgGcMT7H7A8AFXWs%3D&ehkOptimized=ge6V%2BzdubYWwfkZE9Y7COldqJalhFoXTwddzZ4TJXgo%3D'}]
39;Capcom vs. SNK 2;[{'url': 'https://images.start.gg/images/videogame/39/image-d67f88120b2d2fc5709159f9e9539a52.jpg?ehk=2BrNYjBlJuZ4ewaanIXTicUgLuU5%2BfiXoIguVPF9qto%3D&ehkOptimized=jVGbX4lacMcqLGZoQdciMfFBKBXyuNGNnBJiB%2F34CmE%3D'}, {'url': 'https://images.start.gg/images/videogame/39/image-eebf231cb105660823b5f95398774e03.png?ehk=yj8HuUfJTivbDWLvf2kiS%2FZdW97wZ6%2BRid8hC7dEljo%3D&ehkOptimized=hxxB6Gaf6wjF61mWxb7QcqkWoSjN6OfWNhpziZvn%2B%2B4%3D'}]
40;For Honor;[{'url': 'https://images.start.gg/images/videogame/40/image-d8d52625ee53c1134bd7bd1665d2fe0e.jpg?ehk=NjanDsylP3fCX%2BmN92wprziOFX%2FHTnjPh7tBkZbZEz0%3D&ehkOptimized=3zgO6ViZyQsf3OJ8HcA3VSaloW43iG7UX46GfN8OshI%3D'}, {'url': 'https://images.start.gg/images/videogame/40/image-57b5b73c205d55bf9f9013c850ddde44.png?ehk=o5BJk6B0IA0B%2FGIJvDmcezgwjXLHsN6d2n2FuJK6nCE%3D&ehkOptimized=hfV9KRTxV1%2FB6bqy8EAOxWb6j7OyY%2FcZpSblY118z88%3D'}]
41;Madden NFL 2017;[{'url': 'https://images.start.gg/images/videogame/41/image-d1f531b43eee7a77d283117141e6f10f.jpg?ehk=w64HUJhniZFiR%2FQHqKyRfsM6JNlTAg%2B4h5VbYaQ0xiw%3D&ehkOptimized=R6x0eWqUzQkuk9Mc01TTL%2ByoB%2B3UI%2FzCT9D5b1okNd8%3D'}, {'url': 'https://images.start.gg/images/videogame/41/image-c7359a4f1723691ba7832150a813bb63.png?ehk=Bdfj1r%2FKruaWDhzkZVfRYcmz00lxF8oOhrzqsSZY8Yk%3D&ehkOptimized=NqjsIa0y2uyE86nGQLWq6AIH0ekL4LTZlObZTeSAJ10%3D'}]
42;Puyo Puyo VS2;[{'url': 'https://images.start.gg/images/videogame/42/image-8b41f383ff9d406e5de73128a7ee439a.jpg?ehk=yerrPFlbz7OsPABb%2BE5I0%2Fr52FJF0wnyqO2J%2B%2BDJ6%2BQ%3D&ehkOptimized=%2BW2IP34umwndZ7eYqvHNXbtTilhVjt3EXfiQJtqV5DU%3D'}, {'url': 'https://images.start.gg/images/videogame/42/image-81bbfe097c68b4b981e9b2fb1a4220b4.png?ehk=HuZDhzzOXBvQ3pVcJhGHIgyDX5K7sQEQlpj5TRosw3E%3D&ehkOptimized=85n1p1spMGtXN0bwW07iwXbDKp4AgYC88wisdgt5Yu4%3D'}]
43;StarCraft: Brood War;[{'url': 'https://images.start.gg/images/videogame/43/image-97713e6ddda7712bea779158d0e9abd0.jpg?ehk=3O11UmMvX5Khlric8%2BqdQIpjmqqGSC26mRU1dE0Vhto%3D&ehkOptimized=4jRnbhTBTpxeNhUceSvnPWATlsCnxGJGkkUCW0Mt74w%3D'}, {'url': 'https://images.start.gg/images/videogame/43/image-a385b2a365061bed5ba002f1a4714ed6.png?ehk=iN3MvKyHAIX%2FMH9YqxWdJW%2FlBf2ox0rwIDJbldQI2zE%3D&ehkOptimized=1EG9i%2Fe5G54Y14qPvXPHUEP8wh7XDwh6On4Mlbjf2YQ%3D'}]
